date,vt1,vt1.5,vt2,vt2.5,vt3,ma1,ma2,ma3,ct1,ct2,ct3,ny1,ny2,ny3,pa1,pa2,pa3,de1,de2,de3,md1,md2,md3,vt1.cum,vt1.5.cum,vt2.cum,vt2.5.cum,vt3.cum,ma1.cum,ma2.cum,ma3.cum,ct1.cum,ct2.cum,ct3.cum,ny1.cum,ny2.cum,ny3.cum,pa1.cum,pa2.cum,pa3.cum,de1.cum,de2.cum,de3.cum,md1.cum,md2.cum,md3.cum,,,,,,,,,
10/19/22,5.403539556,5.403539556,5.403539556,5.403539556,5.403539556,5.59808195,5.59808195,0,6.83987527,6.83987527,0,2.700650252,2.700650252,0,1.311174033,0,0,6.053060543,0,0,0,0,0,550.4006412,397.5006412,315.1006412,188.811508,114.6141025,434.2413898,197.4311649,0,246.3547261,89.83987527,0,216.2396084,88.00495729,0,91.85300186,0,0,133.4597249,0,0,0,0,0,,,,,,,,,
10/20/22,7.05,7.05,7.05,7.05,7.05,7.220594511,7.220594511,0,4.229104717,4.229104717,0,1.376043121,1.376043121,0,5.642640422,0,0,8.603234498,0,0,0,0,0,557.4506412,404.5506412,322.1506412,195.861508,121.6641025,441.4619843,204.6517594,0,250.5838308,94.06897999,0,217.6156516,89.38100041,0,97.49564228,0,0,142.0629593,0,0,0,0,0,,,,,,,,,
10/21/22,10.35,10.35,10.35,10.35,10.35,8.666998947,8.666998947,0,5.621723739,5.621723739,0,1.189914227,1.189914227,0,7.441264042,0,0,13.01017141,0,0,0,0,0,567.8006412,414.9006412,332.5006412,206.211508,132.0141025,450.1289832,213.3187584,0,256.2055545,99.69070373,0,218.8055658,90.57091464,0,104.9369063,0,0,155.0731308,0,0,0,0,0,,,,,,,,,
10/22/22,17.4,17.4,17.4,17.4,17.4,11.94096579,11.94096579,0,9.75508258,9.75508258,0,7.39583905,7.39583905,0,11.35034873,0,0,12.33278173,0,0,0,0,0,585.2006412,432.3006412,349.9006412,223.611508,149.4141025,462.069949,225.2597242,0,265.9606371,109.4457863,0,226.2014048,97.96675369,0,116.2872551,0,0,167.4059125,0,0,0,0,0,,,,,,,,,
10/23/22,16.6,16.6,16.6,16.6,16.6,7.9,7.9,0,13.08383407,13.08383407,0,13.59301057,13.59301057,0,9.062852185,0,0,15.35,0,0,0,0,0,601.8006412,448.9006412,366.5006412,240.211508,166.0141025,469.969949,233.1597242,0,279.0444712,122.5296204,0,239.7944154,111.5597643,0,125.3501072,0,0,182.7559125,0,0,0,0,0,,,,,,,,,
10/24/22,15.7,15.7,15.7,15.7,15.7,14.25,14.25,0,13,13,0,12.61138541,12.61138541,0,17.3,17.3,0,17.85,0,0,17.236,0,0,617.5006412,464.6006412,382.2006412,255.911508,181.7141025,484.219949,247.4097242,0,292.0444712,135.5296204,0,252.4058008,124.1711497,0,142.6501072,17.3,0,200.6059125,0,0,17.236,0,0,,,,,,,,,
10/25/22,25,25,25,25,25,21,21,0,14.5,14.5,0,20.5,20.5,20.5,17.1,17.1,0,20.55,0,0,19.756,0,0,642.5006412,489.6006412,407.2006412,280.911508,206.7141025,505.219949,268.4097242,0,306.5444712,150.0296204,0,272.9058008,144.6711497,20.5,159.7501072,34.4,0,221.1559125,0,0,36.992,0,0,,,,,,,,,
10/26/22,28.1,28.1,28.1,28.1,28.1,25.55,25.55,0,21.5,21.5,0,24.5,24.5,24.5,14.95,14.95,0,22.1,0,0,21.781,0,0,670.6006412,517.7006412,435.3006412,309.011508,234.8141025,530.769949,293.9597242,0,328.0444712,171.5296204,0,297.4058008,169.1711497,45,174.7001072,49.35,0,243.2559125,0,0,58.773,0,0,,,,,,,,,
10/27/22,9.427367778,9.427367778,9.427367778,9.427367778,9.427367778,16.75,16.75,0,22.5,22.5,0,17.5,17.5,17.5,8.9,8.9,0,16.65,0,0,16.651,0,0,680.028009,527.128009,444.728009,318.4388758,244.2414703,547.519949,310.7097242,0,350.5444712,194.0296204,0,314.9058008,186.6711497,62.5,183.6001072,58.25,0,259.9059125,0,0,75.424,0,0,,,,,,,,,
10/28/22,2.771040484,2.771040484,2.771040484,2.771040484,2.771040484,6.844713078,6.844713078,6.844713078,10.16634856,10.16634856,0,2.628129363,2.628129363,2.628129363,5.139235388,5.139235388,0,13.1,0,0,13.672,0,0,682.7990495,529.8990495,447.4990495,321.2099163,247.0125108,554.3646621,317.5544372,6.844713078,360.7108197,204.1959689,0,317.5339302,189.299279,65.12812936,188.7393426,63.38923539,0,273.0059125,0,0,89.096,0,0,,,,,,,,,
10/29/22,7.638281208,7.638281208,7.638281208,7.638281208,7.638281208,8.604405111,8.604405111,8.604405111,4.248622552,4.248622552,0,6.947950152,6.947950152,6.947950152,7.34753286,7.34753286,0,11.3,0,0,11.4082795,0,0,690.4373307,537.5373307,455.1373307,328.8481975,254.650792,562.9690672,326.1588423,15.44911819,364.9594423,208.4445915,0,324.4818803,196.2472292,72.07607951,196.0868755,70.73676825,0,284.3059125,0,0,100.5042795,0,0,,,,,,,,,
