date,vt1,vt1.5,vt2,vt2.5,vt3,ma1,ma2,ma3,ny1,ny2,ny3,md1,md2,md3,pa1,pa2,pa3,de1,de2,de3,vt1.cum,vt1.5.cum,vt2.cum,vt2.5.cum,vt3.cum,ma1.cum,ma2.cum,ma3.cum,ny1.cum,ny2.cum,ny3.cum,md1.cum,md2.cum,md3.cum,pa1.cum,pa2.cum,pa3.cum,de1.cum,de2.cum,de3.cum
10/23/21,2.889690554,2.889690554,2.889690554,2.889690554,2.889690554,8.55,8.55,0,4.229104717,4.229104717,0,19.5,19.5,0,4.365061518,14.95,0,17.8,0,0,639.4555288,421.3555288,309.6396906,173.3396906,44.03969055,680.51,360.7518997,0,433.5411514,37.22910472,0,511.7277692,65,0,320.3650615,32.05,0,247.1,0,0
10/24/21,6.307934897,6.307934897,6.307934897,6.307934897,6.307934897,7.98,7.98,0,3.644062389,3.644062389,0,17,17,0,6.009485409,8.9,0,18.7,0,0,645.7634637,427.6634637,315.9476255,179.6476255,50.34762545,688.49,368.7321987,0,437.1852138,40.87316711,0,528.7277692,82,0,326.3745469,40.95,0,265.8,0,0
10/25/21,1.849533278,1.849533278,1.849533278,1.849533278,1.849533278,8.30,8.30,0,8.5,8.5,0,21,21,0,17.8,5.139235388,0,29.5,0,0,647.612997,429.512997,317.7971587,181.4971587,52.19715873,696.79,377.0321987,0,445.6852138,49.37316711,0,549.7277692,103,0,344.1745469,46.08923539,0,295.3,0,0
10/26/21,8.25,8.25,8.25,8.25,8.25,10.25,10.25,0,20.5,20.5,0,28.5,28.5,0,9.4,7.34753286,0,19.7,0,0,655.862997,437.762997,326.0471587,189.7471587,60.44715873,707.04,387.2821987,0,466.1852138,69.87316711,0,578.2277692,131.5,0,353.5745469,53.43676825,0,315,0,0
10/27/21,10.05,10.05,10.05,10.05,10.05,12.15,12.15,0,9,9,0,17,17,0,14.25,5.57768831,0,17.65,0,0,665.912997,447.812997,336.0971587,199.7971587,70.49715873,719.19,399.4321987,0,475.1852138,78.87316711,0,595.2277692,148.5,0,367.8245469,59.01445656,0,332.65,0,0
10/28/21,6.314642839,6.314642839,6.314642839,6.314642839,6.314642839,8.74,8.74,0,4.128129363,4.128129363,0,17.5,17.5,0,7.996728912,7.570911739,0,16.15,0,0,672.2276398,454.1276398,342.4118016,206.1118016,76.81180157,727.93,408.1767749,0,479.3133432,83.00129647,0,612.7277692,166,0,375.8212758,66.5853683,0,348.8,0,0
10/29/21,6.805960159,6.805960159,6.805960159,6.805960159,6.805960159,6.40,6.40,0,6.790505781,6.790505781,0,19,19,0,10.9,16.05,0,21.15,0,0,679.0336,460.9336,349.2177617,212.9177617,83.61776173,734.33,414.5800605,0,486.103849,89.79180225,0,631.7277692,185,0,386.7212758,82.6353683,0,369.95,0,0
10/30/21,6.707095417,6.707095417,6.707095417,6.707095417,6.707095417,11.45,11.45,0,11,11,0,17,17,0,8.5,12.18398904,0,20.55,0,0,685.7406954,467.6406954,355.9248571,219.6248571,90.32485714,745.78,426.0300605,0,497.103849,100.7918023,0,648.7277692,202,0,395.2212758,94.81935733,0,390.5,0,0
10/31/21,10.15,10.15,10.15,10.15,10.15,19.10,19.10,0,12,12,0,15.5,15.5,0,10.85,13.00592126,0,19.4,0,0,695.8906954,477.7906954,366.0748571,229.7748571,100.4748571,764.88,445.1300605,0,509.103849,112.7918023,0,664.2277692,217.5,0,406.0712758,107.8252786,0,409.9,0,0
11/1/21,7.85,7.85,7.85,7.85,7.85,8.05,8.05,8.050323609,9,9,0,15.5,15.5,0,4.638861893,16.1,0,11.35,0,0,703.7406954,485.6406954,373.9248571,237.6248571,108.3248571,772.93,453.1803841,8.050323609,518.103849,121.7918023,0,679.7277692,233,0,410.7101377,123.9252786,0,421.25,0,0
